day,actionname,times
2020-12-11,OPEN Plan,3
2020-12-03,OPEN Plan,3
2020-11-27,OPEN Plan,2
2020-11-24,OPEN Plan,1
2020-11-23,OPEN Plan,3
2020-11-20,OPEN Plan,12
2020-11-19,OPEN Plan,32
2020-11-19,CLOSE Plan,4
2020-11-19,SAVE Plan,10
2020-11-18,OPEN Plan,14
2020-11-18,CLOSE Plan,1
2020-11-17,OPEN Plan,6
2020-11-16,OPEN Plan,31
2020-11-16,CLOSE Plan,4
2020-11-16,SAVE Plan,2
2020-11-12,OPEN Plan,14
2020-11-12,SAVE Plan,8
2020-11-11,OPEN Plan,8
2020-11-10,OPEN Plan,20
2020-11-09,CLOSE Plan,1
2020-11-09,SAVE Plan,7
2020-11-09,OPEN Plan,9
2020-11-06,CREATE DAVINCI STYLE,1
2020-11-06,OPEN Plan,26
2020-11-06,SAVE Plan,4
2020-11-06,CREATE,1
2020-11-06,CLOSE Plan,2
2020-11-05,OPEN Plan,4
2020-11-04,SAVE Plan,4
2020-11-04,OPEN Plan,12
2020-11-04,COPY Style,1
2020-11-03,OPEN Plan,7
2020-11-03,CLOSE Plan,1
2020-11-02,OPEN Plan,17
2020-10-30,CREATE DAVINCI STYLE,1
2020-10-30,OPEN Plan,7
2020-10-30,CREATE,1
2020-10-30,SAVE Plan,8
2020-10-29,SAVE Plan,22
2020-10-29,COPY Style,1
2020-10-29,OPEN Plan,42
2020-10-29,CREATE DAVINCI STYLE,1
2020-10-29,CREATE,1
2020-10-29,CLOSE Plan,9
2020-10-28,SAVE Plan,12
2020-10-28,OPEN Plan,11
2020-10-28,COPY Style,2
2020-10-27,OPEN Plan,44
2020-10-27,SAVE Plan,42
2020-10-27,CREATE,14
2020-10-27,CLOSE Plan,7
2020-10-27,CREATE DAVINCI STYLE,14
2020-10-26,SAVE Plan,44
2020-10-26,Delete Style,1
2020-10-26,CREATE DAVINCI STYLE,6
2020-10-26,CREATE,6
2020-10-26,COPY Style,1
2020-10-26,CLOSE Plan,12
2020-10-26,OPEN Plan,51
2020-10-23,SAVE Plan,27
2020-10-23,OPEN Plan,26
2020-10-23,COPY Style,1
2020-10-23,CLOSE Plan,1
2020-10-22,CREATE,11
2020-10-22,SAVE Plan,13
2020-10-22,OPEN Plan,31
2020-10-22,CREATE DAVINCI STYLE,11
2020-10-22,CLOSE Plan,6
2020-10-21,OPEN Plan,19
2020-10-21,COPY Style,1
2020-10-21,CLOSE Plan,1
2020-10-21,SAVE Plan,11
2020-10-20,COPY Style,1
2020-10-20,OPEN Plan,11
2020-10-20,CREATE DAVINCI STYLE,8
2020-10-20,CREATE,8
2020-10-20,SAVE Plan,9
2020-10-20,CLOSE Plan,1
2020-10-19,CLOSE Plan,20
2020-10-19,CREATE,21
2020-10-19,CREATE DAVINCI STYLE,21
2020-10-19,Delete Style,1
2020-10-19,OPEN Plan,50
2020-10-19,SAVE Plan,17
2020-10-16,OPEN Plan,23
2020-10-16,SAVE Plan,9
2020-10-16,CLOSE Plan,2
2020-10-16,CREATE DAVINCI STYLE,3
2020-10-16,CREATE,3
2020-10-15,CREATE,6
2020-10-15,CREATE DAVINCI STYLE,6
2020-10-15,COPY Style,1
2020-10-15,SAVE Plan,23
2020-10-15,CLOSE Plan,7
2020-10-15,OPEN Plan,32
2020-10-14,CLOSE Plan,7
2020-10-14,CREATE,5
2020-10-14,CREATE DAVINCI STYLE,5
2020-10-14,OPEN Plan,14
2020-10-14,SAVE Plan,4
2020-10-13,COPY Style,7
2020-10-13,OPEN Plan,57
2020-10-13,CREATE DAVINCI STYLE,7
2020-10-13,Delete Style,7
2020-10-13,CREATE,7
2020-10-13,CLOSE Plan,14
2020-10-13,SAVE Plan,22
2020-10-12,CREATE DAVINCI STYLE,20
2020-10-12,CREATE,20
2020-10-12,CLOSE Plan,6
2020-10-12,OPEN Plan,24
2020-10-12,Delete Style,1
2020-10-12,SAVE Plan,14
2020-10-09,OPEN Plan,15
2020-10-09,SAVE Plan,10
2020-10-08,COPY Style,7
2020-10-08,CREATE,1
2020-10-08,CREATE DAVINCI STYLE,1
2020-10-08,CLOSE Plan,28
2020-10-08,OPEN Plan,56
2020-10-08,Delete Style,29
2020-10-08,SAVE Plan,13
2020-10-07,SAVE Plan,15
2020-10-07,CLOSE Plan,4
2020-10-07,CREATE,3
2020-10-07,CREATE DAVINCI STYLE,3
2020-10-07,Delete Style,3
2020-10-07,OPEN Plan,44
2020-10-07,COPY Style,1
2020-10-06,CLOSE Plan,3
2020-10-06,COPY Style,2
2020-10-06,CREATE,7
2020-10-06,CREATE DAVINCI STYLE,7
2020-10-06,OPEN Plan,20
2020-10-06,SAVE Plan,17
2020-10-05,SAVE Plan,7
2020-10-05,OPEN Plan,41
2020-10-05,CREATE DAVINCI STYLE,13
2020-10-05,CREATE,13
2020-10-05,CLOSE Plan,24
2020-10-05,COPY Style,6
2020-10-02,OPEN Plan,3
2020-10-02,CREATE DAVINCI STYLE,8
2020-10-02,CREATE,8
2020-10-02,SAVE Plan,44
2020-10-01,SAVE Plan,57
2020-10-01,OPEN Plan,14
2020-10-01,CLOSE Plan,14
2020-09-30,OPEN Plan,8
2020-09-30,CLOSE Plan,1
2020-09-29,Delete Style,2
2020-09-29,OPEN Plan,41
2020-09-29,SAVE Plan,67
2020-09-29,CREATE DAVINCI STYLE,25
2020-09-29,CREATE,25
2020-09-29,CLOSE Plan,15
2020-09-29,COPY Style,5
2020-09-28,CREATE DAVINCI STYLE,15
2020-09-28,CREATE,15
2020-09-28,COPY Style,9
2020-09-28,CLOSE Plan,10
2020-09-28,Delete Style,4
2020-09-28,SAVE Plan,29
2020-09-28,OPEN Plan,35
2020-09-25,CLOSE Plan,8
2020-09-25,OPEN Plan,17
2020-09-25,SAVE Plan,48
2020-09-24,OPEN Plan,51
2020-09-24,Delete Style,7
2020-09-24,CREATE DAVINCI STYLE,40
2020-09-24,CREATE,40
2020-09-24,COPY Style,12
2020-09-24,CLOSE Plan,7
2020-09-24,SAVE Plan,85
2020-09-23,OPEN Plan,21
2020-09-23,Delete Style,1
2020-09-23,CREATE DAVINCI STYLE,22
2020-09-23,CREATE,22
2020-09-23,CLOSE Plan,1
2020-09-23,SAVE Plan,62
2020-09-22,CLOSE Plan,3
2020-09-22,CREATE,18
2020-09-22,CREATE DAVINCI STYLE,18
2020-09-22,Delete Style,1
2020-09-22,OPEN Plan,23
2020-09-22,SAVE Plan,69
2020-09-21,CLOSE Plan,14
2020-09-21,SAVE Plan,18
2020-09-21,OPEN Plan,47
2020-09-21,Delete Style,13
2020-09-21,CREATE DAVINCI STYLE,19
2020-09-21,CREATE,19
2020-09-21,COPY Style,8
2020-09-18,OPEN Plan,36
2020-09-18,CREATE DAVINCI STYLE,14
2020-09-18,CREATE,14
2020-09-18,COPY Style,11
2020-09-18,CLOSE Plan,17
2020-09-18,SAVE Plan,21
2020-09-17,COPY Style,38
2020-09-17,CREATE,24
2020-09-17,CREATE DAVINCI STYLE,24
2020-09-17,Delete Style,11
2020-09-17,SAVE Plan,25
2020-09-17,OPEN Plan,67
2020-09-17,CLOSE Plan,23
2020-09-16,CLOSE Plan,22
2020-09-16,COPY Style,31
2020-09-16,CREATE,6
2020-09-16,CREATE DAVINCI STYLE,6
2020-09-16,OPEN Plan,52
2020-09-16,SAVE Plan,28
2020-09-15,OPEN Plan,58
2020-09-15,Delete Style,6
2020-09-15,CREATE DAVINCI STYLE,7
2020-09-15,CREATE,7
2020-09-15,COPY Style,37
2020-09-15,SAVE Plan,49
2020-09-15,CLOSE Plan,4
2020-09-14,OPEN Plan,41
2020-09-14,SAVE Plan,59
2020-09-14,Delete Style,3
2020-09-14,CREATE DAVINCI STYLE,8
2020-09-14,CREATE,8
2020-09-14,COPY Style,2
2020-09-14,CLOSE Plan,16
2020-09-11,CLOSE Plan,5
2020-09-11,COPY Style,2
2020-09-11,CREATE,9
2020-09-11,CREATE DAVINCI STYLE,9
2020-09-11,OPEN Plan,22
2020-09-11,SAVE Plan,83
2020-09-10,OPEN Plan,37
2020-09-10,Delete Style,4
2020-09-10,CREATE DAVINCI STYLE,22
2020-09-10,CREATE,22
2020-09-10,COPY Style,2
2020-09-10,SAVE Plan,50
2020-09-10,CLOSE Plan,15
2020-09-09,OPEN Plan,54
2020-09-09,Delete Style,2
2020-09-09,CREATE DAVINCI STYLE,42
2020-09-09,CREATE,42
2020-09-09,CLOSE Plan,23
2020-09-09,SAVE Plan,12
2020-09-08,CREATE DAVINCI STYLE,8
2020-09-08,SAVE Plan,38
2020-09-08,OPEN Plan,16
2020-09-08,Delete Style,1
2020-09-08,CREATE,8
2020-09-08,CLOSE Plan,6
2020-09-07,CLOSE Plan,15
2020-09-07,COPY Style,7
2020-09-07,CREATE,5
2020-09-07,OPEN Plan,67
2020-09-07,CREATE DAVINCI STYLE,5
2020-09-07,Delete Style,1
2020-09-07,SAVE Plan,42
2020-09-04,CREATE,14
2020-09-04,CREATE DAVINCI STYLE,14
2020-09-04,OPEN Plan,49
2020-09-04,SAVE Plan,69
2020-09-04,CLOSE Plan,8
2020-09-04,COPY Style,3
